brand,year,total_stores,new_open,terminate,cancel,transfer,avg_sales,area_sales
펙(Peck),0,0,0,0,0,0,12000,0
에밀리아(emilia),2023,20,12,0,2,0,1,1
닥치고 푸드,2023,6,1,0,9,0,7908,790
세븐브로이펍(7br&auml;u PUB),2018,2,0,0,0,0,0,0
상상식당,0,0,0,0,0,0,150774,7108
만뽀,2021,1,0,0,0,0,0,0
부산칠칠집,0,0,0,0,0,0,4,0
열공스터디카페,2020,25,4,0,0,4,111090,2104
만푸쿠,0,0,0,0,0,0,1,1
크렘드마롱,2021,2,2,0,0,0,2,1
배터지는생동까스,2023,84,9,0,15,2,173397,12664
라이프독,2019,1,1,0,5,0,0,0
새벽달,2018,5,2,2019,2,3,2,5
가든쿡,0,0,0,0,0,0,107208,4666
YBM홈스쿨,2020,408,17,0,4,1,7146,991
도쿄빙수,2021,8,0,0,7,1,107502,7166
메기매운탕전문점아우라지,2019,4,0,0,0,0,4,0
퍼사이공,0,0,0,0,0,0,263166,61921
올떡,0,0,0,0,0,0,4,0
팔공티,2021,272,40,58,0,23,96292,6985
치킨테리아,2021,1,0,0,1,0,0,0
야키토리 동작,2023,2,2,0,0,0,0,0
더바디스,2023,0,0,0,0,0,2,0
소소한일상의별난주점,2020,14,9,0,14,2021,54199,3940
핑크버스(PINKBUS),2021,0,1,0,0,0,0,1
권사부 순대국,2023,32,0,1,0,0,200956,9513
부타이,2023,2,1,0,0,0,562534,12586
헤일리스커피,0,0,0,0,0,0,98268,9820
동태랑,2023,0,0,0,0,0,212370,5172
권사부 마약칼국수,2023,18,0,3,0,0,166000,9251
인천콜,2022,2023,4,80,137,1354,1430,0
어부바시니어,0,0,0,0,0,0,264599,9230
정정아식당,0,0,0,0,0,0,341291,8495
하겐다즈,0,0,0,0,0,0,286194,17123
꽃찬등뼈찜,2021,10,10,0,0,0,0,0
제임스시카고피자,2018,7,0,0,4,0,371033,38993
2代맛태,0,0,0,0,0,0,3,1
명사순대,2018,5,5,1,5,2019,291465,6290
신의혼밥,2021,17,17,0,0,0,0,0
벤투스CC,0,0,0,0,0,0,142024,1397
고래냉면1980,2023,17,7,0,2,0,223193,12359
달빛한모금,2018,7,1,2,0,0,384158,6895
